site_ref,site_name,site_lat,site_lon,site_alt,obs_source,obs_station_id,obs_station_url,obs_station_distance_m,obs_station_tier,obs_station_qc,obs_station_last_obs_epoch,generated_utc
pge:12753-lz,Khatabundah Landing,-31.841400,152.355000,68,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13231-lz,Long Flat Landing,-31.435000,152.487000,46,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13239-lz,Honeysuckle Landing,-35.136300,148.298000,329,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:13704-lz,Bells Beach Landing,-38.756600,143.671000,1,wu-pws,IAPOLL5,https://www.wunderground.com/dashboard/pws/IAPOLL5,1293,nearby,1,1788850432,2026-09-08T22:24:16Z
pge:13715-lz,Sunnyside Landing,-38.200800,145.062000,2,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14014-lz,Oil Refinery Cliffs (Hallett Cove) Landing,-35.089800,138.488000,25,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:14799-lz,Middletons Landing,-27.483000,151.837000,484,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15042-lz,Southside Landing,-38.373300,144.276000,1,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15602-lz,Lady Bay Landing,-35.474000,138.289000,8,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15639-lz,The Bluff Landing,-35.591100,138.601000,37,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15640-lz,Tappanapa Landing,-35.643300,138.254000,150,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15641-lz,Blowhole Beach Landing,-35.647600,138.153000,224,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15642-lz,Sellicks Cliffs Landing,-35.336300,138.446000,16,wu-pws,IADELA1983,https://www.wunderground.com/dashboard/pws/IADELA1983,1217,nearby,1,1788852096,2026-09-08T22:24:16Z
pge:15643-lz,Snapper Rocks Landing,-35.269500,138.449000,8,wu-pws,IADELA2714,https://www.wunderground.com/dashboard/pws/IADELA2714,1660,nearby,-1,1788848384,2026-09-08T22:24:16Z
pge:15644-lz,Fryer St Landing,-35.065500,138.501000,46,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15645-lz,Mount Terrible Landing,-35.302500,138.517000,162,wu-pws,,,,,,,2026-09-08T22:24:16Z
pge:15646-lz,Boomer beach Landing,-23.241300,10.546900,0,wu-pws,,,,,,,2026-09-08T22:24:16Z
