id,ref,name,longitude,latitude,altitude,country,wind_n,wind_ne,wind_e,wind_se,wind_s,wind_sw,wind_w,wind_nw,source,closed,site_type,tow,site_group,primary
55,pge:10067,Mount Puncak (Gunung Mas Puncak),106.984000,-6.701670,1345,id,0,0,0,0,0,2,2,2,pge:10067,,launch,0,pge:10067,pge
56,pge:10068,La Pulante,-2.232600,49.187000,43,gb,1,0,0,0,0,1,2,2,pge:10068,,launch,0,pge:10068,pge
57,pge:10070,Black Mount - East Side (Glas Bheinn),-4.728780,56.587200,466,gb,0,0,0,0,0,0,0,2,pge:10070,,launch,0,pge:10070,pge
58,pge:10071,Black Mount - West Side,-4.763200,56.587900,372,gb,2,1,0,0,1,0,0,1,pge:10071,,launch,0,pge:10071,pge
59,pge:10072,Romaniere,4.985400,43.702100,250,fr,0,0,0,0,2,2,0,0,pge:10072,,launch,0,pge:10072,pge
60,pge:10073,"White Corries, Glencoe",-4.842570,56.627500,739,gb,2,2,0,0,0,0,0,0,pge:10073,,launch,0,pge:10073,pge
61,pge:10074,"SE Spur of Meall a Bhuridh, Glencoe",-4.836480,56.609400,779,gb,0,0,1,2,0,0,0,0,pge:10074,,launch,0,pge:10074,pge
62,pge:10075,Ben Toaig,-4.832560,56.563600,719,gb,0,0,0,2,0,0,0,0,pge:10075,,launch,0,pge:10075,pge
63,pge:10078,Tres le mont,6.489200,46.285600,1351,fr,2,0,0,0,0,0,1,2,pge:10078,,launch,0,pge:10078,pge
64,pge:10080,Brigsteer,-2.788200,54.296600,135,gb,0,0,0,0,0,2,2,0,pge:10080,,launch,0,pge:10080,pge
65,pge:10081,Farleton Knott,-2.710170,54.219600,154,gb,0,0,0,0,0,2,2,2,pge:10081,,launch,0,pge:10081,pge
66,pge:10082,Barkin Fell,-2.497160,54.276600,500,gb,0,0,0,2,0,0,0,0,pge:10082,,launch,0,pge:10082,pge
67,pge:10083,Ellerside,-2.988410,54.217600,149,gb,0,0,0,0,0,0,2,0,pge:10083,,launch,0,pge:10083,pge
68,pge:10084,Whitestones,-2.565180,54.379700,461,gb,0,0,0,0,0,2,2,0,pge:10084,,launch,0,pge:10084,pge
69,pge:10085,Whitbarrow Scar,-2.842770,54.256200,180,gb,0,0,0,2,0,2,0,0,pge:10085,,launch,0,pge:10085,pge
70,pge:10086,Humphrey Head,-2.934780,54.156400,55,gb,0,0,0,0,0,2,0,0,pge:10086,,launch,0,pge:10086,pge
71,pge:10087,Wrynose Pass,-3.113900,54.418300,488,gb,0,0,2,0,0,0,0,0,pge:10087,,launch,0,pge:10087,pge
72,pge:10088,Whernside,-2.401580,54.222300,579,gb,0,0,2,2,0,0,0,0,pge:10088,,launch,0,pge:10088,pge
73,pge:10089,Brant Side,-2.345250,54.276400,493,gb,0,0,0,0,0,2,0,0,pge:10089,,launch,0,pge:10089,pge
74,pge:10090,Great Langdale,-3.103180,54.451900,520,gb,0,0,0,0,2,2,0,0,pge:10090,,launch,0,pge:10090,pge
75,pge:10091,Trout Beck,-2.890740,54.421000,390,gb,0,0,0,0,0,0,2,0,pge:10091,,launch,0,pge:10091,pge
76,pge:10092,Barton Fell,-2.832390,54.583100,567,gb,0,0,0,0,0,0,0,2,pge:10092,,launch,0,pge:10092,pge
77,pge:10093,Wolf Craggs,-2.988870,54.591900,519,gb,2,2,0,0,0,0,0,0,pge:10093,,launch,0,pge:10093,pge
78,pge:10094,Topola,28.260200,43.414100,143,bg,0,0,0,1,2,1,0,0,pge:10094,,launch,0,pge:10094,pge
79,pge:10095,Albena,28.092700,43.378000,87,bg,0,1,2,1,0,0,0,0,pge:10095,,launch,0,pge:10095,pge
80,pge:10096,Shelley Beach - Shelley Beach Launch,117.631010,-35.105710,85,au,0,0,0,1,0,0,0,0,ansg:237-271;pge:10096,,launch,0,ansg:237;pge:10096,ansg
81,pge:10098,Llandinam,-3.421100,52.476000,406,gb,0,0,0,0,0,0,2,2,pge:10098,,launch,0,pge:10098,pge
82,pge:10099,Rana,13.771500,50.407500,426,cz,2,0,0,2,2,0,0,2,pge:10099,,launch,0,pge:10099,pge
83,pge:101,Torrey Pines (San Diego),-117.252000,32.890200,89,us,0,0,0,0,0,1,2,1,pge:101,,launch,0,pge:101,pge
84,pge:10101,Morningside,-72.365800,43.324000,241,us,0,0,0,0,2,2,2,2,pge:10101,,launch,0,pge:10101,pge
85,pge:10102,Gurle,29.320800,40.385500,1115,tr,2,2,1,0,0,0,0,0,pge:10102,,launch,0,pge:10102,pge
86,pge:10103,Stankovka,14.323300,49.970000,370,cz,0,0,1,2,1,0,0,0,pge:10103,,launch,0,pge:10103,pge
87,pge:10104,Hazmburk,14.014700,50.434100,395,cz,0,0,0,0,0,2,0,0,pge:10104,,launch,0,pge:10104,pge
88,pge:10105,Jested,14.996500,50.728700,874,cz,0,2,0,0,0,0,0,0,pge:10105,,launch,0,pge:10105,pge
89,pge:10106,Hodkovice,15.077700,50.663600,438,cz,0,0,0,0,0,1,2,1,pge:10106,,launch,0,pge:10106,pge
90,pge:10107,Bohdankov,15.055400,50.678900,410,cz,0,0,0,1,2,1,0,0,pge:10107,,launch,0,pge:10107,pge
91,pge:10108,Rasovka,15.017600,50.708000,820,cz,0,0,0,1,2,1,0,0,pge:10108,,launch,0,pge:10108,pge
92,pge:10109,Lovos,14.018000,50.527700,544,cz,0,0,0,1,2,1,0,0,pge:10109,,launch,0,pge:10109,pge
93,pge:10110,Havrani skala,14.085100,50.592300,495,cz,0,0,0,0,1,2,1,0,pge:10110,,launch,0,pge:10110,pge
94,pge:10111,Telluride Gold Hill,-107.823000,37.894200,3700,us,0,0,2,0,0,0,2,0,pge:10111,,launch,0,pge:10111,pge
95,pge:10112,Bukit Langkisau,100.573000,-1.342400,168,id,0,0,0,0,1,2,1,0,pge:10112,,launch,0,pge:10112,pge
96,pge:10113,Hondon de las Nieves,-0.885500,38.330300,526,es,0,0,1,1,1,0,0,0,pge:10113,,launch,0,pge:10113,pge
